01/01/1997,Adolph Albright
01/02/1997,Michelle Burt
01/03/1997,Ralph Phillips
01/04/1997,Michelle Burt
01/05/1997,Brook Lynch
01/06/1997,Kelly Eastwood
01/07/1997,Kelly Eastwood
01/08/1997,Kelly Eastwood
01/09/1997,Erica Haley
01/10/1997,Erica Haley
01/11/1997,Michelle Burt
01/12/1997,Brook Lynch
01/13/1997,Ralph Phillips
01/14/1997,Ralph Phillips
01/15/1997,Ralph Phillips
01/16/1997,Brook Lynch
01/17/1997,Beatrice Glover
01/18/1997,Michelle Burt
01/19/1997,Michael Thulin
01/20/1997,Beatrice Glover
01/21/1997,Patricia Meadows
01/22/1997,Ralph Phillips
01/23/1997,Patricia Meadows
01/24/1997,Adolph Albright
01/25/1997,Kelly Eastwood
01/26/1997,Beatrice Glover
01/27/1997,Michael Thulin
01/28/1997,Adolph Albright
01/29/1997,Beatrice Glover
01/30/1997,Patricia Meadows
01/31/1997,Patricia Meadows
02/01/1997,Michelle Burt
02/02/1997,Marilyn Phelps
02/03/1997,Kelly Eastwood
02/04/1997,Michelle Burt
02/05/1997,Beatrice Glover
02/06/1997,Michael Thulin
02/07/1997,Beatrice Glover
02/08/1997,Michael Thulin
02/09/1997,Beatrice Glover
02/10/1997,Michael Thulin
02/11/1997,Michael Thulin
02/12/1997,Adolph Albright
02/13/1997,Michael Thulin
02/14/1997,Kelly Eastwood
02/15/1997,Kelly Eastwood
02/16/1997,Kelly Eastwood
02/17/1997,Kelly Eastwood
02/18/1997,Marilyn Phelps
02/19/1997,Patricia Meadows
02/20/1997,Beatrice Glover
02/21/1997,Michael Thulin
02/22/1997,Michael Thulin
02/23/1997,Michelle Burt
02/24/1997,Ralph Phillips
02/25/1997,Beatrice Glover
02/26/1997,Brook Lynch
02/27/1997,Brook Lynch
02/28/1997,Michelle Burt
03/01/1997,Michelle Burt
03/02/1997,Erica Haley
03/03/1997,Ralph Phillips
03/04/1997,Ralph Phillips
03/05/1997,Michelle Burt
03/06/1997,Kelly Eastwood
03/07/1997,Patricia Meadows
03/08/1997,Ralph Phillips
03/09/1997,Ralph Phillips
03/10/1997,Ralph Phillips
03/11/1997,Patricia Meadows
03/12/1997,Patricia Meadows
03/13/1997,Kelly Eastwood
03/14/1997,Michael Thulin
03/15/1997,Patricia Meadows
03/16/1997,Marilyn Phelps
03/17/1997,Patricia Meadows
03/18/1997,Brook Lynch
03/19/1997,Brook Lynch
03/20/1997,Patricia Meadows
03/21/1997,Erica Haley
03/22/1997,Michael Thulin
03/23/1997,Michael Thulin
03/24/1997,Beatrice Glover
03/25/1997,Michael Thulin
03/26/1997,Patricia Meadows
03/27/1997,Erica Haley
03/28/1997,Erica Haley
03/29/1997,Michelle Burt
03/30/1997,Adolph Albright
03/31/1997,Brook Lynch
04/01/1997,Brook Lynch
04/02/1997,Kelly Eastwood
04/03/1997,Adolph Albright
04/04/1997,Kelly Eastwood
04/05/1997,Michael Thulin
04/06/1997,Brook Lynch
04/07/1997,Marilyn Phelps
04/08/1997,Adolph Albright
04/09/1997,Kelly Eastwood
04/10/1997,Ralph Phillips
04/11/1997,Brook Lynch
04/12/1997,Erica Haley
04/13/1997,Marilyn Phelps
04/14/1997,Patricia Meadows
04/15/1997,Beatrice Glover
04/16/1997,Beatrice Glover
04/17/1997,Patricia Meadows
04/18/1997,Brook Lynch
04/19/1997,Michelle Burt
04/20/1997,Michelle Burt
04/21/1997,Ralph Phillips
04/22/1997,Brook Lynch
04/23/1997,Erica Haley
04/24/1997,Kelly Eastwood
04/25/1997,Patricia Meadows
04/26/1997,Marilyn Phelps
04/27/1997,Beatrice Glover
04/28/1997,Adolph Albright
04/29/1997,Adolph Albright
04/30/1997,Beatrice Glover
05/01/1997,Patricia Meadows
05/02/1997,Ralph Phillips
05/03/1997,Beatrice Glover
05/04/1997,Patricia Meadows
05/05/1997,Michael Thulin
05/06/1997,Brook Lynch
05/07/1997,Marilyn Phelps
05/08/1997,Erica Haley
05/09/1997,Michelle Burt
05/10/1997,Marilyn Phelps
05/11/1997,Michelle Burt
05/12/1997,Marilyn Phelps
05/13/1997,Michael Thulin
05/14/1997,Adolph Albright
05/15/1997,Marilyn Phelps
05/16/1997,Brook Lynch
05/17/1997,Brook Lynch
05/18/1997,Erica Haley
05/19/1997,Michelle Burt
05/20/1997,Marilyn Phelps
05/21/1997,Patricia Meadows
05/22/1997,Marilyn Phelps
05/23/1997,Ralph Phillips
05/24/1997,Michelle Burt
05/25/1997,Adolph Albright
05/26/1997,Beatrice Glover
05/27/1997,Adolph Albright
05/28/1997,Michelle Burt
05/29/1997,Patricia Meadows
05/30/1997,Beatrice Glover
05/31/1997,Brook Lynch
06/01/1997,Ralph Phillips
06/02/1997,Kelly Eastwood
06/03/1997,Erica Haley
06/04/1997,Michael Thulin
06/05/1997,Kelly Eastwood
06/06/1997,Michael Thulin
06/07/1997,Michael Thulin
06/08/1997,Adolph Albright
06/09/1997,Michelle Burt
06/10/1997,Kelly Eastwood
06/11/1997,Ralph Phillips
06/12/1997,Beatrice Glover
06/13/1997,Erica Haley
06/14/1997,Marilyn Phelps
06/15/1997,Patricia Meadows
06/16/1997,Michelle Burt
06/17/1997,Erica Haley
06/18/1997,Marilyn Phelps
06/19/1997,Michelle Burt
06/20/1997,Ralph Phillips
06/21/1997,Kelly Eastwood
06/22/1997,Marilyn Phelps
06/23/1997,Erica Haley
06/24/1997,Beatrice Glover
06/25/1997,Michael Thulin
06/26/1997,Erica Haley
06/27/1997,Marilyn Phelps
06/28/1997,Michael Thulin
06/29/1997,Michelle Burt
06/30/1997,Michelle Burt
07/01/1997,Erica Haley
07/02/1997,Marilyn Phelps
07/03/1997,Marilyn Phelps
07/04/1997,Marilyn Phelps
07/05/1997,Kelly Eastwood
07/06/1997,Beatrice Glover
07/07/1997,Marilyn Phelps
07/08/1997,Marilyn Phelps
07/09/1997,Brook Lynch
07/10/1997,Patricia Meadows
07/11/1997,Kelly Eastwood
07/12/1997,Michelle Burt
07/13/1997,Erica Haley
07/14/1997,Michael Thulin
07/15/1997,Patricia Meadows
07/16/1997,Patricia Meadows
07/17/1997,Adolph Albright
07/18/1997,Marilyn Phelps
07/19/1997,Erica Haley
07/20/1997,Adolph Albright
07/21/1997,Michael Thulin
07/22/1997,Ralph Phillips
07/23/1997,Michelle Burt
07/24/1997,Patricia Meadows
07/25/1997,Marilyn Phelps
07/26/1997,Brook Lynch
07/27/1997,Erica Haley
07/28/1997,Patricia Meadows
07/29/1997,Ralph Phillips
07/30/1997,Adolph Albright
07/31/1997,Michelle Burt
08/01/1997,Michael Thulin
08/02/1997,Kelly Eastwood
08/03/1997,Marilyn Phelps
08/04/1997,Erica Haley
08/05/1997,Erica Haley
08/06/1997,Ralph Phillips
08/07/1997,Michael Thulin
08/08/1997,Marilyn Phelps
08/09/1997,Kelly Eastwood
08/10/1997,Marilyn Phelps
08/11/1997,Ralph Phillips
08/12/1997,Kelly Eastwood
08/13/1997,Beatrice Glover
08/14/1997,Marilyn Phelps
08/15/1997,Adolph Albright
08/16/1997,Beatrice Glover
08/17/1997,Adolph Albright
08/18/1997,Patricia Meadows
08/19/1997,Beatrice Glover
08/20/1997,Erica Haley
08/21/1997,Michael Thulin
08/22/1997,Marilyn Phelps
08/23/1997,Marilyn Phelps
08/24/1997,Marilyn Phelps
08/25/1997,Adolph Albright
08/26/1997,Michelle Burt
08/27/1997,Michael Thulin
08/28/1997,Adolph Albright
08/29/1997,Kelly Eastwood
08/30/1997,Adolph Albright
08/31/1997,Michelle Burt
09/01/1997,Patricia Meadows
09/02/1997,Patricia Meadows
09/03/1997,Marilyn Phelps
09/04/1997,Adolph Albright
09/05/1997,Michael Thulin
09/06/1997,Brook Lynch
09/07/1997,Adolph Albright
09/08/1997,Michelle Burt
09/09/1997,Erica Haley
09/10/1997,Patricia Meadows
09/11/1997,Beatrice Glover
09/12/1997,Patricia Meadows
09/13/1997,Michelle Burt
09/14/1997,Michelle Burt
09/15/1997,Brook Lynch
09/16/1997,Ralph Phillips
09/17/1997,Michael Thulin
09/18/1997,Erica Haley
09/19/1997,Patricia Meadows
09/20/1997,Adolph Albright
09/21/1997,Patricia Meadows
09/22/1997,Ralph Phillips
09/23/1997,Patricia Meadows
09/24/1997,Beatrice Glover
09/25/1997,Erica Haley
09/26/1997,Kelly Eastwood
09/27/1997,Michelle Burt
09/28/1997,Beatrice Glover
09/29/1997,Adolph Albright
09/30/1997,Adolph Albright
10/01/1997,Patricia Meadows
10/02/1997,Michelle Burt
10/03/1997,Kelly Eastwood
10/04/1997,Patricia Meadows
10/05/1997,Michelle Burt
10/06/1997,Adolph Albright
10/07/1997,Marilyn Phelps
10/08/1997,Marilyn Phelps
10/09/1997,Brook Lynch
10/10/1997,Michael Thulin
10/11/1997,Michael Thulin
10/12/1997,Erica Haley
10/13/1997,Erica Haley
10/14/1997,Marilyn Phelps
10/15/1997,Michelle Burt
10/16/1997,Marilyn Phelps
10/17/1997,Kelly Eastwood
10/18/1997,Michael Thulin
10/19/1997,Beatrice Glover
10/20/1997,Beatrice Glover
10/21/1997,Adolph Albright
10/22/1997,Beatrice Glover
10/23/1997,Michael Thulin
10/24/1997,Marilyn Phelps
10/25/1997,Erica Haley
10/26/1997,Michelle Burt
10/27/1997,Adolph Albright
10/28/1997,Brook Lynch
10/29/1997,Michelle Burt
10/30/1997,Brook Lynch
10/31/1997,Erica Haley
11/01/1997,Brook Lynch
11/02/1997,Erica Haley
11/03/1997,Adolph Albright
11/04/1997,Adolph Albright
11/05/1997,Marilyn Phelps
11/06/1997,Erica Haley
11/07/1997,Patricia Meadows
11/08/1997,Patricia Meadows
11/09/1997,Patricia Meadows
11/10/1997,Adolph Albright
11/11/1997,Marilyn Phelps
11/12/1997,Adolph Albright
11/13/1997,Adolph Albright
11/14/1997,Marilyn Phelps
11/15/1997,Kelly Eastwood
11/16/1997,Michael Thulin
11/17/1997,Beatrice Glover
11/18/1997,Michelle Burt
11/19/1997,Patricia Meadows
11/20/1997,Brook Lynch
11/21/1997,Brook Lynch
11/22/1997,Adolph Albright
11/23/1997,Marilyn Phelps
11/24/1997,Michelle Burt
11/25/1997,Brook Lynch
11/26/1997,Brook Lynch
11/27/1997,Beatrice Glover
11/28/1997,Adolph Albright
11/29/1997,Patricia Meadows
11/30/1997,Kelly Eastwood
12/01/1997,Beatrice Glover
12/02/1997,Ralph Phillips
12/03/1997,Beatrice Glover
12/04/1997,Kelly Eastwood
12/05/1997,Marilyn Phelps
12/06/1997,Erica Haley
12/07/1997,Michael Thulin
12/08/1997,Patricia Meadows
12/09/1997,Brook Lynch
12/10/1997,Michael Thulin
12/11/1997,Ralph Phillips
12/12/1997,Beatrice Glover
12/13/1997,Erica Haley
12/14/1997,Michelle Burt
12/15/1997,Patricia Meadows
12/16/1997,Ralph Phillips
12/17/1997,Erica Haley
12/18/1997,Michael Thulin
12/19/1997,Beatrice Glover
12/20/1997,Brook Lynch
12/21/1997,Ralph Phillips
12/22/1997,Kelly Eastwood
12/23/1997,Patricia Meadows
12/24/1997,Michael Thulin
12/25/1997,Erica Haley
12/26/1997,Beatrice Glover
12/27/1997,Marilyn Phelps
12/28/1997,Beatrice Glover
12/29/1997,Adolph Albright
12/30/1997,Kelly Eastwood
