01/01/1997,Jose Kenny,Carlos Toto
01/02/1997,Vanessa Sigler,Leroy Richardson
01/03/1997,Ann Pendarvis,Jorge Harmon
01/04/1997,Fred Brown,Carlos Toto
01/05/1997,Barry Snyder,John Cantrell
01/06/1997,Ann Pendarvis,Leroy Richardson
01/07/1997,Ann Pendarvis,Jorge Harmon
01/08/1997,Jorge Harmon,Fred Brown
01/09/1997,Vanessa Sigler,Leroy Richardson
01/10/1997,Barry Snyder,John Cantrell
01/11/1997,Barry Snyder,John Cantrell
01/12/1997,Vanessa Sigler,John Mcguirl
01/13/1997,Jose Kenny,John Mcguirl
01/14/1997,Vanessa Sigler,Leroy Richardson
01/15/1997,Fred Brown,John Mcguirl
01/16/1997,Ann Pendarvis,John Cantrell
01/17/1997,Barry Snyder,John Cantrell
01/18/1997,Jose Kenny,John Mcguirl
01/19/1997,Ann Pendarvis,Barry Snyder
01/20/1997,Jorge Harmon,John Mcguirl
01/21/1997,Jorge Harmon,Barry Snyder
01/22/1997,Fred Brown,Carlos Toto
01/23/1997,Vanessa Sigler,Fred Brown
01/24/1997,Barry Snyder,Jorge Harmon
01/25/1997,Jorge Harmon,John Mcguirl
01/26/1997,Jose Kenny,John Mcguirl
01/27/1997,Ann Pendarvis,Jorge Harmon
01/28/1997,Fred Brown,John Cantrell
01/29/1997,Fred Brown,Carlos Toto
01/30/1997,Fred Brown,John Mcguirl
01/31/1997,Ann Pendarvis,Carlos Toto
02/01/1997,Jose Kenny,Carlos Toto
02/02/1997,Vanessa Sigler,Leroy Richardson
02/03/1997,Fred Brown,Carlos Toto
02/04/1997,Vanessa Sigler,John Mcguirl
02/05/1997,Jose Kenny,Jorge Harmon
02/06/1997,Ann Pendarvis,John Cantrell
02/07/1997,Fred Brown,Jorge Harmon
02/08/1997,Jose Kenny,Carlos Toto
02/09/1997,Vanessa Sigler,John Mcguirl
02/10/1997,Vanessa Sigler,Carlos Toto
02/11/1997,Vanessa Sigler,Leroy Richardson
02/12/1997,Jose Kenny,John Mcguirl
02/13/1997,Fred Brown,John Cantrell
02/14/1997,Ann Pendarvis,John Mcguirl
02/15/1997,Barry Snyder,John Mcguirl
02/16/1997,Ann Pendarvis,John Mcguirl
02/17/1997,Vanessa Sigler,Leroy Richardson
02/18/1997,Barry Snyder,John Mcguirl
02/19/1997,Vanessa Sigler,Jose Kenny
02/20/1997,Vanessa Sigler,John Mcguirl
02/21/1997,John Cantrell,Fred Brown
02/22/1997,Vanessa Sigler,Leroy Richardson
02/23/1997,Ann Pendarvis,Jorge Harmon
02/24/1997,Jorge Harmon,Leroy Richardson
02/25/1997,Fred Brown,Carlos Toto
02/26/1997,Barry Snyder,John Mcguirl
02/27/1997,Fred Brown,John Cantrell
02/28/1997,John Mcguirl,Leroy Richardson
03/01/1997,Fred Brown,Carlos Toto
03/02/1997,Jose Kenny,Leroy Richardson
03/03/1997,Ann Pendarvis,Jorge Harmon
03/04/1997,Barry Snyder,John Mcguirl
03/05/1997,Vanessa Sigler,John Mcguirl
03/06/1997,Barry Snyder,John Cantrell
03/07/1997,Jose Kenny,John Cantrell
03/08/1997,Barry Snyder,John Cantrell
03/09/1997,Jose Kenny,Leroy Richardson
03/10/1997,Fred Brown,Barry Snyder
03/11/1997,Vanessa Sigler,Fred Brown
03/12/1997,Fred Brown,Jorge Harmon
03/13/1997,Fred Brown,Jorge Harmon
03/14/1997,Ann Pendarvis,Jorge Harmon
03/15/1997,Jose Kenny,John Cantrell
03/16/1997,Vanessa Sigler,John Mcguirl
03/17/1997,John Cantrell,Jorge Harmon
03/18/1997,John Cantrell,John Mcguirl
03/19/1997,Barry Snyder,John Cantrell
03/20/1997,Vanessa Sigler,Leroy Richardson
03/21/1997,Fred Brown,Barry Snyder
03/22/1997,Vanessa Sigler,Jorge Harmon
03/23/1997,Vanessa Sigler,Leroy Richardson
03/24/1997,Fred Brown,Jorge Harmon
03/25/1997,Fred Brown,John Mcguirl
03/26/1997,Fred Brown,Carlos Toto
03/27/1997,Vanessa Sigler,Jorge Harmon
03/28/1997,Ann Pendarvis,John Mcguirl
03/29/1997,Barry Snyder,John Cantrell
03/30/1997,Vanessa Sigler,Leroy Richardson
03/31/1997,Vanessa Sigler,Leroy Richardson
04/01/1997,Leroy Richardson,Carlos Toto
04/02/1997,Vanessa Sigler,Leroy Richardson
04/03/1997,Barry Snyder,John Cantrell
04/04/1997,Barry Snyder,John Cantrell
04/05/1997,Fred Brown,Carlos Toto
04/06/1997,Vanessa Sigler,John Cantrell
04/07/1997,Barry Snyder,John Mcguirl
04/08/1997,Barry Snyder,John Cantrell
04/09/1997,Fred Brown,Jorge Harmon
04/10/1997,Fred Brown,Jorge Harmon
04/11/1997,Vanessa Sigler,Carlos Toto
04/12/1997,Ann Pendarvis,John Mcguirl
04/13/1997,Barry Snyder,Jorge Harmon
04/14/1997,Vanessa Sigler,Leroy Richardson
04/15/1997,Fred Brown,Carlos Toto
04/16/1997,Ann Pendarvis,Jorge Harmon
04/17/1997,Barry Snyder,John Cantrell
04/18/1997,Vanessa Sigler,Leroy Richardson
04/19/1997,Barry Snyder,John Cantrell
04/20/1997,Ann Pendarvis,John Mcguirl
04/21/1997,Vanessa Sigler,Barry Snyder
04/22/1997,Ann Pendarvis,Jorge Harmon
04/23/1997,Vanessa Sigler,Leroy Richardson
04/24/1997,Jorge Harmon,John Cantrell
04/25/1997,Vanessa Sigler,Leroy Richardson
04/26/1997,Fred Brown,John Cantrell
04/27/1997,Vanessa Sigler,Leroy Richardson
04/28/1997,Barry Snyder,Vanessa Sigler
04/29/1997,Ann Pendarvis,Jorge Harmon
04/30/1997,Ann Pendarvis,Jorge Harmon
05/01/1997,Jose Kenny,John Mcguirl
05/02/1997,Ann Pendarvis,John Mcguirl
05/03/1997,Jose Kenny,Jorge Harmon
05/04/1997,Jose Kenny,Jorge Harmon
05/05/1997,Vanessa Sigler,Barry Snyder
05/06/1997,Ann Pendarvis,John Mcguirl
05/07/1997,Ann Pendarvis,Jorge Harmon
05/08/1997,Vanessa Sigler,Leroy Richardson
05/09/1997,Fred Brown,John Mcguirl
05/10/1997,Ann Pendarvis,Jorge Harmon
05/11/1997,Vanessa Sigler,Barry Snyder
05/12/1997,Vanessa Sigler,Leroy Richardson
05/13/1997,Ann Pendarvis,Jorge Harmon
05/14/1997,Barry Snyder,John Cantrell
05/15/1997,Ann Pendarvis,Carlos Toto
05/16/1997,Jose Kenny,Leroy Richardson
05/17/1997,Barry Snyder,John Mcguirl
05/18/1997,Barry Snyder,John Mcguirl
05/19/1997,John Cantrell,Jorge Harmon
05/20/1997,Barry Snyder,Carlos Toto
05/21/1997,Fred Brown,John Mcguirl
05/22/1997,Ann Pendarvis,Jorge Harmon
05/23/1997,Vanessa Sigler,Leroy Richardson
05/24/1997,Fred Brown,Carlos Toto
05/25/1997,Ann Pendarvis,Leroy Richardson
05/26/1997,Fred Brown,Carlos Toto
05/27/1997,Barry Snyder,Jorge Harmon
05/28/1997,Jose Kenny,John Cantrell
05/29/1997,Jose Kenny,Jorge Harmon
05/30/1997,Ann Pendarvis,Jorge Harmon
05/31/1997,Fred Brown,Ann Pendarvis
06/01/1997,Fred Brown,Carlos Toto
06/02/1997,Vanessa Sigler,Leroy Richardson
06/03/1997,Ann Pendarvis,Jorge Harmon
06/04/1997,Ann Pendarvis,Jorge Harmon
